,Республика Карелия,Северо-Западный федеральный округ
   Облучье - 8,9
,Чукотский автономный округ,Дальневосточный федеральный округ
Анадырь - 13,1
   Билибино - 5,5
   Певек - 4,2
Горно-Алтайск,Республика Алтай,Сибирский федеральный округ
,Республика Бурятия,Сибирский федеральный округ
Улан-Удэ - 340,2
   Северобайкальск - 25,5
   Гусиноозерск - 23,7
   Кяхта - 19,4
   Закаменск - 13,1
   Бабушкин - 4,9
,Республика Тыва,Сибирский федеральный округ
Кызыл - 109,9
   Ак-Довурак - 13,5
   Шагонар - 11,0
   Чадан - 9,0
   Туран -5,0
,Республика Хакасия,Сибирский федеральный округ
Абакан - 167,6
   Черногорск - 72,3
   Саяногорск - 49,1
   Абаза - 16,7
   Сорск - 11,9
,Алтайский край,Сибирский федеральный округ
Барнаул - 604,2
  Бийск - 225,3
  Рубцовск - 158,6
  Новоалтайск - 73,9
  Заринск - 49,9
  Камень-на-Оби - 45,1
  Славгород - 34,8
  Алейск - 28,7
  Яровое - 20,7
  Горняк - 15,6
  Белокуриха - 14,7
  Змеиногорск - 11,2 
,Забайкальский край,Сибирский федеральный округ
Чита - 327,4
   Краснокаменск - 55,4
   Борзя - 30,8
   Петровск-Забайкальский - 18,1
   Нерчинск - 14,9
   Шилка - 13,7
   Могоча - 13,4
   Балей - 12,2
   Хилок - 11,4
   Сретенск - 6,7
,Красноярский край,Сибирский федеральный округ
Красноярск - 973,9
  Норильск - 175,3
  Ачинск - 109,2
  Канск - 94,2
  Железногорск - 85,6
  Минусинск - 71,2
  Зеленогорск - 66,0
  Лесосибирск - 61,1
  Назарово - 52,8
  Шарыпово - 38,6
  Сосновоборск - 33,1
  Дивногорск - 28,3
  Дудинка - 22,2
  Боготол - 21,0
  Енисейск - 18,8
  Бородино - 17,4
  Иланский - 16,1
  Ужур - 16,1
  Кодинск - 14,8
  Уяр - 12,7
  Заозерный - 10,7
  Игарка - 6,2
  Артемовск - 2,2
,Иркутская область,Сибирский федеральный округ
Иркутск - 579,3
   Братск - 251,0
   Ангарск - 241,5
   Усть-Илимск - 97,1
   Усолье-Сибирское - 85,7
   Черемхово - 53,9
   Шелехов -49,6
   Тулун - 47,3
   Усть-Кут - 44,8
   Саянск - 43,8
   Нижнеудинск - 37,1
   Тайшет - 36,5
   Зима - 34,1
   Железногорск-Илимский - 26,3
   Вихоревка - 24,5
   Слюдянка - 19,0
   Бодайбо - 14,8
   Байкальск - 14,7
   Свирск - 14,3
   Киренск - 12,4
   Бирюсинск - 9,3
   Алзамай - 7,1
,Кемеровская область,Сибирский федеральный округ
Кемерово - 519,8
   Новокузнецк - 560,9
   Прокопьевск - 214,7
   Ленинск-Кузнецкий -106,4
   Междуреченск - 103,5
   Киселевск - 103,4
   Юрга - 83,6
   Анжеро-Судженск - 83,2
   Белово - 76,7
   Осинники - 48,0
   Березовский - 47,2
   Мыски - 41,9
   Мариинск - 41,6
   Топки - 30,5
   Полысаево - 27,8
   Гурьевск - 25,9
   Калтан - 24,9
   Тайга - 24,9
   Таштагол - 22,8
   Салаир - 9,1
,Новосибирская область,Сибирский федеральный округ
Новосибирск - 1397,0
  Бердск - 91,9
  Искитим - 63,8
  Куйбышев - 48,5
  Барабинск - 31,2
  Карасук - 28,3
  Татарск - 26,3
  Обь - 24,9
  Тогучин - 21,8
  Черепаново - 20,1
  Болотное - 17,5
  Купино - 16,3
  Чулым - 12,1
  Каргат - 10,9
,Омская область,Сибирский федеральный округ
Омск - 1154,0
  Тара - 27,3
  Исилькуль - 24,5
  Калачинск - 23,5
  Называевск - 11,6
  Тюкалинск - 11,3
,Томская область,Сибирский федеральный округ
Томск - 544,3
  Северск - 115,2
  Стрежевой - 42,2
  Асино - 25,6
  Колпашево - 24,1
  Кедровый - 3,9
,Курганская область,Уральский федеральный округ
Курган - 333,6
   Шадринск - 77,7
   Шумиха - 17,8
   Куртамыш -17,1
   Катайск - 14,0
   Далматово - 13,9
   Петухово - 11,3
   Щучье - 11,0
   Макушкино - 8,3
